ITERATION,N_LEVELS,TOTAL_AREA,EXT_WALL_M2,INT_WALLS_M2,VOL_BLD,N_DOORS,VOL_BBOX,TYPOLOGY,N_APARTMENTS,SLABS_M2,EXT_SLABS_M2,INT_SLABS_M2,ROOFS_M2
IT_20_TYP_1,6.0,2853.0,3381.6,3732.4,8559.0,81.0,13122.0,1.0,81.0,3492.0,639.0,2214.0,639.0
IT_21_TYP_1,6.0,2772.0,3090.4,3791.9,8316.0,77.0,11664.0,1.0,77.0,3366.0,594.0,2178.0,594.0
IT_22_TYP_1,6.0,2430.0,3198.4,3169.3,7290.0,65.0,10206.0,1.0,65.0,2979.0,549.0,1881.0,549.0
IT_23_TYP_1,6.0,2178.0,2306.5,3261.2,6534.0,57.0,8748.0,1.0,57.0,2673.0,495.0,1683.0,495.0
IT_24_TYP_1,6.0,1989.0,2180.5,2989.0,5967.0,52.0,7776.0,1.0,52.0,2448.0,459.0,1530.0,459.0
IT_25_TYP_3,4.0,5499.0,6844.3,7596.1,16497.0,145.0,25920.0,3.0,145.0,7380.0,1881.0,3618.0,1881.0
IT_26_TYP_3,5.0,7092.0,8325.3,9829.7,21276.0,190.0,32400.0,3.0,190.0,9144.0,2052.0,5040.0,2052.0
IT_27_TYP_3,6.0,8676.0,9816.0,11944.1,26028.0,230.0,38880.0,3.0,230.0,10809.0,2133.0,6543.0,2133.0
IT_28_TYP_2,6.0,7623.0,8328.5,10704.6,22869.0,215.0,34020.0,2.0,215.0,9378.0,1755.0,5868.0,1755.0
IT_29_TYP_1,6.0,4932.0,5855.9,6807.4,14796.0,136.0,29484.0,1.0,136.0,5994.0,1062.0,3870.0,1062.0
IT_30_TYP_1,7.0,4851.0,6359.9,6479.3,14553.0,139.0,27216.0,1.0,139.0,5949.0,1098.0,3753.0,1098.0
IT_31_TYP_1,6.0,3636.0,5108.1,5074.3,10908.0,87.0,17820.0,1.0,87.0,4437.0,801.0,2835.0,801.0
IT_32_TYP_1,6.0,3285.0,4265.4,4748.1,9855.0,82.0,14256.0,1.0,82.0,3960.0,675.0,2610.0,675.0
IT_33_TYP_1,6.0,2439.0,4396.3,3160.8,7317.0,58.0,11340.0,1.0,58.0,2925.0,486.0,1953.0,486.0
IT_34_TYP_3,7.0,11844.0,15682.8,16454.9,35532.0,288.0,54432.0,3.0,288.0,14481.0,2637.0,9207.0,2637.0
IT_35_TYP_3,7.0,11367.0,11689.8,17630.9,34101.0,277.0,51408.0,3.0,277.0,13932.0,2565.0,8802.0,2565.0
IT_36_TYP_3,7.0,10269.0,11297.0,14177.7,30807.0,275.0,45360.0,3.0,275.0,12564.0,2295.0,7974.0,2295.0
IT_37_TYP_2,7.0,8964.0,11761.9,12806.7,26892.0,231.0,42336.0,2.0,231.0,10719.0,1755.0,7209.0,1755.0
IT_38_TYP_2,8.0,9774.0,12197.1,13430.2,29322.0,249.0,45360.0,2.0,249.0,11475.0,1701.0,8073.0,1701.0
IT_39_TYP_1,8.0,10215.0,12619.3,16870.4,30645.0,399.0,45360.0,1.0,399.0,11862.0,1647.0,8568.0,1647.0
