ITERATION,ID,N_LEVELS,USABLE_AREA,TOTAL_AREA,1BD,2BD,3BD,N_WALLS,WALLS_M2,N_EXT_WALLS,EXT_WALL_M2,N_EXT_CORR_WALL,EXT_CORR_WALL_M2,N_INT_WALLS,INT_WALLS_M2,N_WINDOWS,WINDOWS_M2,N_CORR_WINDOWS,CORR_WINDOWS_M2,N_DOORS,VOL_BBOX,N_SLABS,SLABS_M2,N_EXT_SLABS,EXT_SLABS_M2,N_INT_SLABS,INT_SLABS_M2,N_ROOFS,ROOFS_M2,N_COLUMNS,COLUMN_TYPE,COLUMN_VOLUME,N_BEAMS,BEAMS_TYPE,BEAMS_VOLUME
BLD_2,61_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,477.0,1989.0,63.0,11.0,0.0,959.0,4334.7,314.0,0.0,239.0,781.7,406.0,3553.0,0.0,0.0,239.0,1369.3,74.0,82620.0,343.0,3087.0,45.0,405.0,221.0,1989.0,49.0,441.0,1021.0,0.0,16.9,1952.0,0.0,13.8
BLD_2,108_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,717.0,3321.0,94.0,17.0,0.0,1737.0,9877.2,412.0,0.0,331.0,1082.7,994.0,8794.5,0.0,0.0,331.0,1896.3,111.0,90558.0,655.0,5895.0,125.0,1125.0,369.0,3321.0,129.0,1161.0,1921.0,0.0,31.7,3643.0,0.0,25.8
BLD_2,154_70_0_18_1000_2000_True_0.3_36_100_40_20,8.0,1113.0,4158.0,151.0,23.0,0.0,2367.0,26038.3,541.0,11877.2,371.0,1213.5,1455.0,12947.6,74.0,9.0,371.0,2125.5,108.0,95013.0,703.0,6327.0,217.0,1953.0,462.0,4158.0,221.0,1989.0,3060.0,0.0,50.5,5771.0,0.0,40.6
BLD_2,200_70_0_18_1000_2000_True_0.3_36_100_40_20,8.0,1512.0,4959.0,207.0,30.0,0.0,3056.0,31985.8,610.0,12544.1,407.0,1331.2,2039.0,18110.5,101.0,9.0,407.0,2331.8,163.0,99468.0,911.0,8199.0,312.0,2808.0,551.0,4959.0,316.0,2844.0,4252.0,0.0,70.2,7942.0,0.0,52.6
BLD_2,246_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,1713.0,6318.0,239.0,31.0,0.0,3799.0,39265.3,714.0,14632.3,499.0,1632.2,2586.0,23000.8,105.0,9.0,499.0,2858.8,187.0,182088.0,1142.0,10278.0,392.0,3528.0,702.0,6318.0,398.0,3582.0,5133.0,0.0,84.8,9611.0,0.0,64.3
