ITERATION,ID,N_LEVELS,USABLE_AREA,TOTAL_AREA,1BD,2BD,3BD,N_WALLS,WALLS_M2,N_EXT_WALLS,EXT_WALL_M2,N_EXT_CORR_WALL,EXT_CORR_WALL_M2,N_INT_WALLS,INT_WALLS_M2,N_WINDOWS,WINDOWS_M2,N_CORR_WINDOWS,CORR_WINDOWS_M2,N_DOORS,VOL_BBOX,N_SLABS,SLABS_M2,N_EXT_SLABS,EXT_SLABS_M2,N_INT_SLABS,INT_SLABS_M2,N_ROOFS,ROOFS_M2,N_COLUMNS,COLUMN_TYPE,COLUMN_VOLUME,N_BEAMS,BEAMS_TYPE,BEAMS_VOLUME
BLD_15,61_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,1932.0,2025.0,280.0,28.0,0.0,1190.0,6094.4,314.0,0.0,239.0,781.7,637.0,5312.6,0.0,0.0,239.0,1369.3,308.0,82620.0,353.0,3177.0,44.0,396.0,225.0,2025.0,51.0,459.0,970.0,0.0,16.0,1892.0,0.0,13.4
BLD_15,61_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,27.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
BLD_15,61_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,243.0,1323.0,36.0,3.0,0.0,912.0,3941.5,316.0,0.0,239.0,781.7,357.0,3159.8,0.0,0.0,239.0,1369.3,39.0,82620.0,298.0,2682.0,79.0,711.0,147.0,1323.0,80.0,720.0,898.0,0.0,14.8,1759.0,0.0,12.5
BLD_16,108_70_0_18_1000_2000_True_0.3_36_100_40_20,10.0,489.0,2655.0,68.0,9.0,0.0,1692.0,9503.8,413.0,0.0,332.0,1085.9,947.0,8417.9,0.0,0.0,332.0,1902.1,77.0,90558.0,597.0,5373.0,158.0,1422.0,295.0,2655.0,159.0,1431.0,1798.0,0.0,29.7,3463.0,0.0,24.5
BLD_17,154_70_0_18_1000_2000_True_0.3_36_100_40_20,8.0,891.0,3456.0,129.0,13.0,0.0,2339.0,22431.4,538.0,8465.0,370.0,1210.2,1431.0,12756.2,66.0,9.0,370.0,2119.8,90.0,95013.0,654.0,5886.0,250.0,2250.0,384.0,3456.0,251.0,2259.0,2927.0,0.0,48.3,5590.0,0.0,39.5
BLD_18,200_70_0_18_1000_2000_True_0.3_36_100_40_20,8.0,1290.0,4257.0,185.0,20.0,0.0,3028.0,28502.5,607.0,9255.4,406.0,1328.0,2015.0,17919.1,94.0,9.0,406.0,2326.0,145.0,99468.0,858.0,7722.0,345.0,3105.0,473.0,4257.0,346.0,3114.0,4119.0,0.0,68.0,7761.0,0.0,51.7
