ITERATION,ID,N_LEVELS,USABLE_AREA,TOTAL_AREA,1BD,2BD,3BD,N_WALLS,WALLS_M2,N_EXT_WALLS,EXT_WALL_M2,N_EXT_CORR_WALL,EXT_CORR_WALL_M2,N_INT_WALLS,INT_WALLS_M2,N_WINDOWS,WINDOWS_M2,N_CORR_WINDOWS,CORR_WINDOWS_M2,N_DOORS,VOL_BBOX,N_SLABS,SLABS_M2,N_EXT_SLABS,EXT_SLABS_M2,N_INT_SLABS,INT_SLABS_M2,N_ROOFS,ROOFS_M2,N_COLUMNS,COLUMN_TYPE,COLUMN_VOLUME,N_BEAMS,BEAMS_TYPE,BEAMS_VOLUME
BLD_10,50_70_0_6_1000_20000_True_0.3_36_100_40_20,3.0,624.0,702.0,68.0,24.0,0.0,793.0,5831.6,264.0,1666.0,82.0,268.2,447.0,3897.4,156.0,9.0,82.0,469.8,92.0,21870.0,209.0,1881.0,92.0,828.0,78.0,702.0,93.0,837.0,2838.0,0.0,47.1,4427.0,0.0,25.9
BLD_11,50_70_0_9_1000_20000_True_0.3_36_100_40_20,5.0,900.0,1107.0,111.0,26.0,0.0,1109.0,8440.5,406.0,2817.2,99.0,323.8,604.0,5299.5,200.0,9.0,99.0,567.2,100.0,36450.0,256.0,2304.0,106.0,954.0,123.0,1107.0,109.0,981.0,4310.0,0.0,71.1,6116.0,0.0,36.6
BLD_12,50_70_0_12_1000_20000_True_0.3_36_100_40_20,7.0,1362.0,2007.0,191.0,24.0,0.0,1656.0,12217.2,618.0,3830.1,125.0,408.9,913.0,7978.2,324.0,9.0,125.0,716.1,175.0,51030.0,306.0,2754.0,83.0,747.0,223.0,2007.0,82.0,738.0,5857.0,0.0,96.7,8155.0,0.0,50.2
BLD_13,50_70_0_15_1000_20000_True_0.3_36_100_40_20,9.0,1812.0,2502.0,224.0,52.0,0.0,2107.0,15516.5,758.0,4415.1,125.0,408.9,1224.0,10692.5,402.0,9.0,125.0,716.1,237.0,65610.0,431.0,3879.0,112.0,1008.0,278.0,2502.0,111.0,999.0,9698.0,0.0,160.1,12588.0,0.0,75.1
BLD_14,50_70_0_18_1000_20000_True_0.3_36_100_40_20,11.0,2286.0,3357.0,306.0,50.0,0.0,2671.0,19379.1,970.0,5410.9,159.0,520.1,1542.0,13448.1,543.0,9.0,159.0,910.9,315.0,80190.0,472.0,4248.0,99.0,891.0,373.0,3357.0,100.0,900.0,11235.0,0.0,185.4,14671.0,0.0,84.8
