ITERATION,ID,LEVEL,USABLE_AREA,TOTAL_AREA,1BD,2BD,3BD,N_WALLS,WALLS_M2,N_EXT_WALLS,EXT_WALL_B_M2,N_EXT_CORR_WALL,EXT_CORR_WALL_M2,EXT_WALL_M2,N_INT_WALLS,INT_WALLS_M2,N_SLABS,SLABS_M2,N_EXT_SLABS,EXT_SLABS_M2,ROOF_M2,N_INT_SLABS,INT_SLABS_M2,N_WINDOWS,WINDOWS_M2,N_CORR_WINDOWS,CORR_WINDOWS_M2,N_DOORS,N_COLUMNS,VOLUME_M3,COMPACTNESS
BLD_35,50_70_0_12_3100_3000_True_0.3_36_25_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_35,50_70_0_12_3100_3000_True_0.3_36_25_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_35,50_70_0_12_3100_3000_True_0.3_36_25_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3100_3000_True_0.3_36_25_40_20,15,186,747,5,16,1,311,1274,79,162,165,540,702,67,573,287,1935,29,194,194,230,1548,64,9,165,945,22,,5811,0.156
BLD_36,50_70_0_12_3100_3000_True_0.3_36_50_40_20,0,0,0,0,0,0,84,275,,,84,275,,,,41,369,,,,,,,,84,481,,,1107,
BLD_36,50_70_0_12_3100_3000_True_0.3_36_50_40_20,1,189,453,16,9,1,161,994,74,315,12,39,,75,640,91,819,,,,,,54,9,12,69,26,,2457,
BLD_36,50_70_0_12_3100_3000_True_0.3_36_50_40_20,2,0,294,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
BLD_36,50_70_0_12_3100_3000_True_0.3_36_50_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_36,50_70_0_12_3100_3000_True_0.3_36_50_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_36,50_70_0_12_3100_3000_True_0.3_36_50_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3100_3000_True_0.3_36_50_40_20,15,189,747,16,9,1,313,1491,74,315,164,536,851,75,640,288,1944,29,194,194,230,1555,54,9,164,940,26,,5838,0.181
BLD_37,50_70_0_12_3100_3000_True_0.3_36_75_40_20,0,0,0,0,0,0,84,275,,,84,275,,,,41,369,,,,,,,,84,481,,,1107,
BLD_37,50_70_0_12_3100_3000_True_0.3_36_75_40_20,1,186,453,28,2,0,158,1184,60,423,14,46,,84,715,90,810,,,,,,42,9,14,80,30,,2430,
BLD_37,50_70_0_12_3100_3000_True_0.3_36_75_40_20,2,0,294,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
BLD_37,50_70_0_12_3100_3000_True_0.3_36_75_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_37,50_70_0_12_3100_3000_True_0.3_36_75_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_37,50_70_0_12_3100_3000_True_0.3_36_75_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3100_3000_True_0.3_36_75_40_20,15,186,747,28,2,0,310,1681,60,423,166,543,966,84,715,287,1935,29,194,194,230,1548,42,9,166,951,30,,5811,0.201
BLD_38,50_70_0_12_3100_3000_True_0.3_36_100_40_20,0,0,0,0,0,0,84,275,,,84,275,,,,41,369,,,,,,,,84,481,,,1107,
BLD_38,50_70_0_12_3100_3000_True_0.3_36_100_40_20,1,180,453,30,0,0,157,1214,61,477,15,49,,81,688,88,792,,,,,,41,9,15,86,30,,2376,
BLD_38,50_70_0_12_3100_3000_True_0.3_36_100_40_20,2,0,294,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
BLD_38,50_70_0_12_3100_3000_True_0.3_36_100_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_38,50_70_0_12_3100_3000_True_0.3_36_100_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_38,50_70_0_12_3100_3000_True_0.3_36_100_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3100_3000_True_0.3_36_100_40_20,15,180,747,30,0,0,309,1711,61,477,167,546,1023,81,688,285,1917,29,192,192,228,1534,41,9,167,957,30,,5757,0.213
BLD_39,50_70_0_12_3300_3000_True_0.3_36_25_40_20,0,0,0,0,0,0,84,275,,,84,275,,,,41,369,,,,,,,,84,481,,,1107,
BLD_39,50_70_0_12_3300_3000_True_0.3_36_25_40_20,1,180,453,6,16,0,158,793,79,198,15,49,,64,546,88,792,,,,,,60,9,15,86,22,,2376,
BLD_39,50_70_0_12_3300_3000_True_0.3_36_25_40_20,2,0,294,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
BLD_39,50_70_0_12_3300_3000_True_0.3_36_25_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_39,50_70_0_12_3300_3000_True_0.3_36_25_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_39,50_70_0_12_3300_3000_True_0.3_36_25_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3300_3000_True_0.3_36_25_40_20,15,180,747,6,16,0,310,1290,79,198,167,546,744,64,546,285,1917,29,192,192,228,1534,60,9,167,957,22,,5757,0.164
BLD_40,50_70_0_12_3300_3000_True_0.3_36_50_40_20,0,0,0,0,0,0,84,275,,,84,275,,,,41,369,,,,,,,,84,481,,,1107,
BLD_40,50_70_0_12_3300_3000_True_0.3_36_50_40_20,1,183,453,14,11,0,158,939,72,279,14,46,,72,614,89,801,,,,,,53,9,14,80,25,,2403,
BLD_40,50_70_0_12_3300_3000_True_0.3_36_50_40_20,2,0,294,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
BLD_40,50_70_0_12_3300_3000_True_0.3_36_50_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_40,50_70_0_12_3300_3000_True_0.3_36_50_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_40,50_70_0_12_3300_3000_True_0.3_36_50_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3300_3000_True_0.3_36_50_40_20,15,183,747,14,11,0,310,1436,72,279,166,543,822,72,614,286,1926,29,193,193,229,1541,53,9,166,951,25,,5784,0.177
BLD_41,50_70_0_12_3300_3000_True_0.3_36_75_40_20,0,0,0,0,0,0,84,275,,,84,275,,,,41,369,,,,,,,,84,481,,,1107,
BLD_41,50_70_0_12_3300_3000_True_0.3_36_75_40_20,1,186,453,26,2,1,159,1143,63,405,15,49,,81,689,90,810,,,,,,45,9,15,86,29,,2430,
BLD_41,50_70_0_12_3300_3000_True_0.3_36_75_40_20,2,0,294,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
BLD_41,50_70_0_12_3300_3000_True_0.3_36_75_40_20,3,0,0,0,0,0,48,157,,,48,157,,,,128,621,,,,,,,,48,275,,,1863,
BLD_41,50_70_0_12_3300_3000_True_0.3_36_75_40_20,4,0,0,0,0,0,20,65,,,20,65,,,,26,135,,,,,,,,20,115,,,405,
BLD_41,50_70_0_12_3300_3000_True_0.3_36_75_40_20,5,0,0,0,0,0,,,,,,,,,,1,,,,,,,,,,,,,3,
SUM,50_70_0_12_3300_3000_True_0.3_36_75_40_20,15,186,747,26,2,1,311,1640,63,405,167,546,951,81,689,287,1935,29,194,194,230,1548,45,9,167,957,29,,5811,0.199
